"","track.name","danceability","energy","loudness","acousticness","valence","tempo"
"1","Rebel Rouser",0.388,0.434,-11.997,0.789,0.873,206.313
"2","Splish Splash",0.645,0.943,-1.526,0.385,0.965,147.768
"3","Bird Dog",0.658,0.706,-9.076,0.686,0.965,141.194
"4","When",0.667,0.426,-11.034,0.656,0.946,92.852
"5","Just a Dream",0.365,0.546,-3.87,0.745,0.725,81.017
"6","My True Love",0.548,0.253,-11.387,0.871,0.238,68.184
"7","Little Star",0.408,0.397,-12.536,0.873,0.697,72.615
"8","Patricia",0.541,0.676,-7.988,0.188,0.911,76.231
"9","Poor Little Fool - Remastered 2005",0.551,0.324,-11.773,0.631,0.809,155.042
"10","Nel Blù Dipinto Di Blù",0.455,0.0907,-16.006,0.989,0.414,123.518
"11","Tiger",0.559,0.914,-8.113,0.777,0.88,167.21
"12","Waterloo",0.363,0.741,-6.688,0.267,0.963,203.107
"13","Lavender Blue",0.468,0.281,-13.322,0.832,0.479,114.61
"14","There Goes My Baby",0.239,0.564,-6.544,0.596,0.642,77.58
"15","Personality",0.591,0.454,-8.936,0.744,0.865,128.909
"16","The Three Bells (Les Trois Cloches)",0.488,0.045,-23.317,0.965,0.417,109.31
"17","My Heart Is An Open Book",0.843,0.12,-17.305,0.611,0.622,128.532
"18","A Big Hunk O' Love",0.536,0.902,-7.817,0.771,0.965,87.471
"19","The Battle of New Orleans",0.682,0.753,-10.863,0.739,0.926,179.805
"20","Lonely Boy",0.623,0.605,-9.923,0.352,0.804,106.163
"21","Because They're Young",0.581,0.644,-10.684,0.526,0.952,121.62
"22","Mule Skinner Blues",0.412,0.555,-5.339,0.928,0.464,126.825
"23","Cathy's Clown - Remastered Album Version",0.507,0.561,-10.472,0.548,0.89,120.042
"24","Walk, Don't Run",0.488,0.648,-13.252,0.852,0.949,156.35
"25","Only the Lonely",0.57,0.529,-10.769,0.377,0.934,123.273
"26","Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini (Bonus Track)",0.814,0.266,-17.523,0.522,0.965,123.304
"27","Alley Oop",0.647,0.454,-9.954,0.849,0.88,64.56
"28","Everybody's Somebody's Fool",0.587,0.72,-5.214,0.792,0.81,84.272
"29","It's Now or Never",0.643,0.491,-9.312,0.642,0.753,126.399
"30","I'm Sorry - Single Version",0.528,0.112,-17.431,0.938,0.305,102.148
"31","Last Night",0.723,0.565,-4.175,0.448,0.859,126.588
"32","Dum Dum - Single Version",0.698,0.426,-12.414,0.788,0.659,125.996
"33","Moody River - Single Version",0.776,0.391,-9.895,0.697,0.6,129.944
"34","Wooden Heart",0.844,0.462,-9.855,0.713,0.947,84.913
"35","Rain Drops",0.553,0.396,-14.02,0.13,0.697,121.215
"36","Michael/Cotton Fields Medley",0.48,0.237,-18.666,0.86,0.469,103.182
"37","I Like It Like That - Pt. 1",0.577,0.544,-12.315,0.884,0.813,143.914
"38","The Boll Weevil Song",0.731,0.435,-12.78,0.23,0.618,133.171
"39","Quarter to Three",0.498,0.891,-5.636,0.966,0.85,80.476
"40","Tossin' And Turnin' - Stereo Version",0.469,0.932,-5.815,0.399,0.874,141.627
"41","It Keeps Right On A-Hurtin' - 1962 #3Pop; #4Country Billboard Chart Hit",0.311,0.283,-10.358,0.751,0.525,201.96
