"","track.name","decade","year","rank"
"1","Rebel Rouser","50s",1958,10
"2","Splish Splash","50s",1958,9
"3","Bird Dog","50s",1958,8
"4","When","50s",1958,7
"5","Just a Dream","50s",1958,6
"6","My True Love","50s",1958,5
"7","Little Star","50s",1958,4
"8","Patricia","50s",1958,3
"9","Poor Little Fool - Remastered 2005","50s",1958,2
"10","Nel Blù Dipinto Di Blù","50s",1958,1
"11","Tiger","50s",1959,1
"12","Waterloo","50s",1959,2
"13","Lavender Blue","50s",1959,3
"14","There Goes My Baby","50s",1959,4
"15","Personality","50s",1959,5
"16","The Three Bells (Les Trois Cloches)","50s",1959,6
"17","My Heart Is An Open Book","50s",1959,7
"18","A Big Hunk O' Love","50s",1959,8
"19","The Battle of New Orleans","50s",1959,9
"20","Lonely Boy","50s",1959,10
"21","Because They're Young","60s",1960,10
"22","Mule Skinner Blues","60s",1960,9
"23","Cathy's Clown - Remastered Album Version","60s",1960,8
"24","Walk, Don't Run","60s",1960,7
"25","Only the Lonely","60s",1960,6
"26","Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini (Bonus Track)","60s",1960,5
"27","Alley Oop","60s",1960,4
"28","Everybody's Somebody's Fool","60s",1960,3
"29","It's Now or Never","60s",1960,2
"30","I'm Sorry - Single Version","60s",1960,1
"31","Last Night","60s",1961,10
"32","Dum Dum - Single Version","60s",1961,9
"33","Moody River - Single Version","60s",1961,8
"34","Wooden Heart","60s",1961,7
"35","Rain Drops","60s",1961,6
"36","Michael/Cotton Fields Medley","60s",1961,5
"37","I Like It Like That - Part 1","60s",1961,4
"38","The Boll Weevil Song","60s",1961,3
"39","Quarter to Three","60s",1961,2
"40","Tossin' And Turnin' - Stereo Version","60s",1961,1
"41","It Keeps Right On A-Hurtin' - 1962 #3Pop; #4Country Billboard Chart Hit","60s",1962,10
"42","Sheila","60s",1962,9
"43","Palisades Park","60s",1962,8
"44","Sealed With A Kiss","60s",1962,7
"45","The Wah Watusi","60s",1962,6
"46","The Loco-Motion - Single Version","60s",1962,5
"47","Breaking Up Is Hard to Do - Remastered","60s",1962,4
"48","The Stripper","60s",1962,3
"49","I Can't Stop Loving You","60s",1962,2
"50","Roses Are Red (My Love) - Single Version","60s",1962,1
"51","Candy Girl","60s",1963,10
"52","(You're The) Devil in Disguise","60s",1963,9
"53","My Boyfriend's Back","60s",1963,8
"54","Blowin' in the Wind","60s",1963,7
"55","Wipe Out - Hit Version / Extended Ending","60s",1963,6
"56","Sukiyaki","60s",1963,5
"57","So Much In Love - Single Version/Bonus Track","60s",1963,4
"58","Easier Said Than Done","60s",1963,3
"59","Surf City - Remastered 1990 / Stereo Remix","60s",1963,2
"60","Fingertips - Pt. 2","60s",1963,1
"61","Wishin' And Hopin'","60s",1964,10
"62","The Little Old Lady (From Pasadena)","60s",1964,9
"63","Under the Boardwalk","60s",1964,8
"64","Memphis","60s",1964,7
"65","House Of The Rising Sun","60s",1964,6
"66","Rag Doll","60s",1964,5
"67","A Hard Day's Night - Remastered 2009","60s",1964,4
"68","Everybody Loves Somebody","60s",1964,3
"69","I Get Around (Stereo) - Remastered","60s",1964,2
"70","Where Did Our Love Go","60s",1964,1
"71","Save Your Heart For Me","60s",1965,10
"72","Cara Mia","60s",1965,9
"73","Yes. I'm Ready","60s",1965,8
"74","What's New Pussycat?","60s",1965,7
"75","Mr. Tambourine Man","60s",1965,6
"76","I'm Henry VIII, I Am","60s",1965,5
"77","Help! - Remastered 2009","60s",1965,4
"78","I Got You Babe","60s",1965,3
"79","I Can't Help Myself (Sugar Pie, Honey Bunch)","60s",1965,2
"80","(I Can't Get No) Satisfaction - Mono Version","60s",1965,1
"81","See You in September","60s",1966,10
"82","Sunshine Superman","60s",1966,9
"83","Red Rubber Ball","60s",1966,8
"84","Strangers In The Night","60s",1966,7
"85","Sunny","60s",1966,6
"86","Paperback Writer - Remastered 2015","60s",1966,5
"87","Hanky Panky - Single Version","60s",1966,4
"88","Li'l Red Riding Hood","60s",1966,3
"89","Summer in the City - Remastered","60s",1966,2
"90","Wild Thing","60s",1966,1
"91","Baby, I Love You","60s",1967,10
"92","San Francisco (Be Sure to Wear Flowers In Your Hair)","60s",1967,9
"93","A Whiter Shade Of Pale","60s",1967,8
"94","Ode To Billie Joe","60s",1967,7
"95","All You Need Is Love - Remastered 2009","60s",1967,6
"96","I Was Made To Love Her","60s",1967,5
"97","Little Bit O' Soul - Remastered","60s",1967,4
"98","Can't Take My Eyes off You","60s",1967,3
"99","Windy - Remastered Version","60s",1967,2
"100","Light My Fire","60s",1967,1
"101","Born To Be Wild - Single Version","60s",1968,10
"102","Classical Gas","60s",1968,9
"103","Jumpin' Jack Flash - Mono","60s",1968,8
"104","Lady Willpower","60s",1968,7
"105","The Horse","60s",1968,6
"106","Stoned Soul Picnic","60s",1968,5
"107","Grazing In The Grass","60s",1968,4
"108","People Got to Be Free","60s",1968,3
"109","Hello, I Love You","60s",1968,2
"110","This Guy's In Love With You","60s",1968,1
"111","A Boy Named Sue - Live at San Quentin State Prison, San Quentin, CA - February 1969","60s",1969,10
"112","Sweet Caroline","60s",1969,9
"113","What Does It Take (To Win Your Love)","60s",1969,8
"114","Good Morning Starshine - Re-Recording","60s",1969,7
"115","One - Single Version","60s",1969,6
"116","Spinning Wheel","60s",1969,5
"117","Love Theme From Romeo And Juliet","60s",1969,4
"118","Crystal Blue Persuasion (45 Version)","60s",1969,3
"119","Honky Tonk Women - Mono Version","60s",1969,2
"120","In the Year 2525","60s",1969,1
"121","In the Summertime","70s",1970,10
"122","Signed, Sealed, Delivered (I'm Yours)","70s",1970,9
"123","Spill The Wine","70s",1970,8
"124","Band Of Gold - Rerecorded","70s",1970,7
"125","Ball Of Confusion (That's What The World Is Today) - Single Version/Mono","70s",1970,6
"126","War - Single Version","70s",1970,5
"127","The Love You Save","70s",1970,4
"128","I Found That Girl","70s",1970,4
"129","Make It with You","70s",1970,3
"130","Mama Told Me (Not To Come) - Single Version","70s",1970,2
"131","(They Long To Be) Close To You","70s",1970,1
"132","Signs","70s",1971,10
